"ID","Question 1 (KH)","Question 2 (KH)","Answer (KH)","Correct (KH)","Level","Question 1 (EN)","Question 2 (EN)","Answer (EN)","Correct (EN)"
1,"តើមានមនុស្សប៉ុន្មានផ្កាយ?","******","6, 7, 4, 9",6,1,"How many stars?","******","6, 7, 4, 9",6
2,"តើមានមនុស្សប៉ុន្មានផ្កាយ?","*********","10, 9, 5, 7",9,1,"How many stars?","*********","10, 9, 5, 7",9
3,"តើមានមនុស្សប៉ុន្មានផ្កាយ?","**********   **********   **********   **********","45, 30, 40, 50",40,1,"How many stars?","**********   **********   **********   **********","45, 30, 40, 50",40
4,"តើមានមនុស្សប៉ុន្មានផ្កាយ?","********","8, 5, 7, 11",8,1,"How many stars?","********","8, 5, 7, 11",8
5,"តើមានមនុស្សប៉ុន្មានផ្កាយ?","| | | | | | | | | |     | | | | | | | | | |     | | | | | | | | | |     | |","30, 32, 25, 41",32,1,"How many lines?","| | | | | | | | | |     | | | | | | | | | |     | | | | | | | | | |     | |","30, 32, 25, 41",32
6,"តើមានមនុស្សប៉ុន្មានបន្ទាត់?","| | | |","3, 6, 8, 4",4,1,"How many lines?","| | | |","3, 6, 8, 4",4
7,"តើមានមនុស្សប៉ុន្មានបន្ទាត់?","| | | | | | |","3, 6, 8, 7",7,1,"How many lines?","| | | | | | |","3, 6, 8, 7",7
8,"តើមានមនុស្សប៉ុន្មានបន្ទាត់?","| | | | | | | | |","6, 9 ,7, 12",9,1,"How many lines?","| | | | | | | | |","6, 9 ,7, 12",9
9,"តើមានមនុស្សប៉ុន្មានបន្ទាត់?","| | | | | | | | | |     | | | | | | | | | |     | | | |","22, 26, 24, 28",24,1,"How many lines?","| | | | | | | | | |     | | | | | | | | | |     | | | |","22, 26, 24, 28",24
10,"តើមានមនុស្សប៉ុន្មានរង្វង់?","o o o o o o o o o o     o o o","10, 12, 13, 15",13,1,"How many circles?","o o o o o o o o o o     o o o","10, 12, 13, 15",13
11,"តើមានមនុស្សប៉ុន្មានរង្វង់?","o o o o o o o o o o     o o o o o o o o o o     o o o o o o o o o o     o o o o o o o o o o     o o o o o o o o o o","48, 50, 60, 55",50,1,"How many circles?","o o o o o o o o o o     o o o o o o o o o o     o o o o o o o o o o     o o o o o o o o o o     o o o o o o o o o o","48, 50, 60, 55",50
12,"តើមានមនុស្សប៉ុន្មានរង្វង់?","o o o o o o o o o o     o o o o","12, 13,1 4, 15",14,1,"How many circles?","o o o o o o o o o o     o o o o","12, 13,1 4, 15",14
13,"តើមានមនុស្សប៉ុន្មានរង្វង់?","o o o o o o o o o o     o o o o o o o","14, 16, 17, 19",17,1,"How many circles?","o o o o o o o o o o     o o o o o o o","14, 16, 17, 19",17
14,"តើមានមនុស្សប៉ុន្មានរង្វង់?","o o o o o o o o o o     o o o o o o o o o ","20, 18, 17, 19",19,1,"How many circles?","o o o o o o o o o o     o o o o o o o o o ","20, 18, 17, 19",19
15,"តើមានមនុស្សប៉ុន្មានរង្វង់?","o o o o o o o o o o     o o | | |","12, 14, 15, 11",12,1,"How many circles?","o o o o o o o o o o     o o | | |","12, 14, 15, 11",12
16,"តើមានមនុស្សប៉ុន្មានរង្វង់?","o o o o o o o o | | | | |","8, 12, 13, 10",8,1,"How many circles?","o o o o o o o o | | | | |","8, 12, 13, 10",8
17,"តើមានមនុស្សប៉ុន្មានរង្វង់?","o o o o o o o o o o    | | | | |","10, 11, 15, 13",10,1,"How many circles?","o o o o o o o o o o    | | | | |","10, 11, 15, 13",10
18,"តើមានមនុស្សប៉ុន្មានរង្វង់?","o o o | | | o o o | | | o o o","10, 9, 8, 15",9,1,"How many circles?","o o o | | | o o o | | | o o o","10, 9, 8, 15",9
19,"តើមានមនុស្សប៉ុន្មានរង្វង់?","o o o | | | o o o | | | o o | | o","11, 9, 8, 17",9,1,"How many circles?","o o o | | | o o o | | | o o | | o","11, 9, 8, 17",9
20,"តើមានមនុស្សប៉ុន្មានរង្វង់?","o o o o o | | | | | o o o o","11, 9, 8, 17",9,1,"How many circles?","o o o o o | | | | | o o o o","11, 9, 8, 17",9
21,"តើមានមនុស្សប៉ុន្មានលេខ?",12345678,"8, 7, 6, 9",8,1,"How many numbers?",12345678,"8, 7, 6, 9",8
22,"តើមានមនុស្សប៉ុន្មានលេខ?",22222,"2, 5, 6, 10",5,1,"How many numbers?",22222,"2, 5, 6, 10",5
23,"តើមានមនុស្សប៉ុន្មានលេខ?",849584615,"9, 6, 5, 10",9,1,"How many numbers?",849584615,"9, 6, 5, 10",9
24,"តើមានមនុស្សប៉ុន្មានលេខ?",1111111,"8, 7, 9, 6",7,1,"How many numbers?",1111111,"8, 7, 9, 6",7
25,"តើមានមនុស្សប៉ុន្មានតួអក្សរ?","ABCUYD","6, 5, 4, 8",6,1,"How many letters?","ABCUYD","6, 5, 4, 8",6
26,"តើមានមនុស្សប៉ុន្មានតួអក្សរ?","PIOAA AADDU","9, 10, 11, 7",10,1,"How many letters?","PIOAA AADDU","9, 10, 11, 7",10
27,"តើមានមនុស្សប៉ុន្មានតួអក្សរ?","UID JKF YYU","7, 9, 11, 10",9,1,"How many letters?","UID JKF YYU","7, 9, 11, 10",9
28,"តើមានមនុស្សប៉ុន្មានតួអក្សរ?","123 PAB 993 TRR","6, 10, 12, 8",6,1,"How many letters?","123 PAB 993 TRR","6, 10, 12, 8",6
29,"តើមានមនុស្សប៉ុន្មានតួអក្សរ?","PLKJ BNMA YT","9. 10, 11, 14",10,1,"How many letters?","PLKJ BNMA YT","9. 10, 11, 14",10
30,"តើមានមនុស្សប៉ុន្មានតួអក្សរ?","UDJA LAKD QUEPT","12, 13, 14, 9",13,1,"How many letters?","UDJA LAKD QUEPT","12, 13, 14, 9",13
31,"ដែលមានលេខសែសិប?",,"20, 30, 40, 45",40,2,"Which number is forty?",,"20, 30, 40, 45",40
32,"ចំនួនដែលជាដប់ពីរ?",,"10, 12, 16, 20",12,2,"Which number is twelve?",,"10, 12, 16, 20",12
33,"ដែលចំនួននេះគឺចិតសិបប្រាំពីរនាក់?",,"17, 70, 77, 71",77,2,"Which number is seventy seven?",,"17, 70, 77, 71",77
34,"ចំនួនដែលជាបី?",,"4, 6, 3, 2",3,2,"Which number is three?",,"4, 6, 3, 2",3
35,"ចំនួនដែលជាទ្បុង?",,"16, 12, 14, 19",14,2,"Which number is fourteen?",,"16, 12, 14, 19",14
36,"ចំនួនដែលជាប្រាំរយនាក់?",,"300, 500, 400, 550",500,2,"Which number is five hundred?",,"300, 500, 400, 550",500
37,"ចំនួនដែលមានបីរយម្ភៃ?",,"230, 320, 300, 330",320,2,"Which number is three hundred and twenty?",,"230, 320, 300, 330",320
38,"ដែលមានលេខប្រាំបីរយហាសិបប្រាំបួន?",,"800, 850, 859, 895",859,2,"Which number is eight hundred and fifty nine?",,"800, 850, 859, 895",859
39,"ដែលចំនួននេះគឺប្រាំពីររយនាក់និងសាមសិបពីរ?",,"700, 730, 732, 723",732,2,"Which number is seven hundred and thirty two?",,"700, 730, 732, 723",732
40,"ដែលចំនួននេះគឺមួយរយហុកសិបប្រាំពីរនិង?",,"167, 170, 160, 100",167,2,"Which number is one hundred and sixty seven?",,"167, 170, 160, 100",167
41,"ដែលចំនួននេះគឺមួយពាន់នាក់?",,"100, 1000, 1005, 900",1000,2,"Which number is one thousand?",,"100, 1000, 1005, 900",1000
42,"ចំនួនដែលមានប្រាំបួនរយនិងទ្បុង?",,"900, 914, 940, 941",914,2,"Which number is nine hundred and fourteen?",,"900, 914, 940, 941",914
43,"ដែលមានលេខហុកសិបប្រាំ?",,"56, 65, 87, 100",65,2,"Which number is sixty five?",,"56, 65, 87, 100",65
44,"បន្ទាប់មកអ្វី?","2, 4, __","6, 8, 5, 4",6,2,"What comes next?","2, 4, __","6, 8, 5, 4",6
45,"បន្ទាប់មកអ្វី?","1, 3, 5, 7, __","8, 9, 10, 7",9,2,"What comes next?","1, 3, 5, 7, __","8, 9, 10, 7",9
46,"បន្ទាប់មកអ្វី?","2, 4, 6, 8, __","9, 11, 10, 12",10,2,"What comes next?","2, 4, 6, 8, __","9, 11, 10, 12",10
47,"បន្ទាប់មកអ្វី?","3, 5, 7, 9, __","10, 11, 13, 12",11,2,"What comes next?","3, 5, 7, 9, __","10, 11, 13, 12",11
48,"បន្ទាប់មកអ្វី?","11, 13, 15, 17, __","18, 17, 19, 20",19,2,"What comes next?","11, 13, 15, 17, __","18, 17, 19, 20",19
49,"បន្ទាប់មកអ្វី?","33, 35, 37, 39, __","33, 37, 41, 43",41,2,"What comes next?","33, 35, 37, 39, __","33, 37, 41, 43",41
50,"បន្ទាប់មកអ្វី?","16, 18, 20, __","24, 22, 20, 28",22,2,"What comes next?","16, 18, 20, __","24, 22, 20, 28",22
51,"បន្ទាប់មកអ្វី?","8, 10, 12, 14, __","14, 16, 18, 20",16,2,"What comes next?","8, 10, 12, 14, __","14, 16, 18, 20",16
52,"បន្ទាប់មកអ្វី?","52, 54, 56, __","60, 58, 56, 54",58,2,"What comes next?","52, 54, 56, __","60, 58, 56, 54",58
53,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","1, 3, 5, __, 9, 11","6, 7, 9, 2",7,2,"What is the missing number?","1, 3, 5, __, 9, 11","6, 7, 9, 2",7
54,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","4, 6, 8, __, 12","8, 9, 10, 11",10,2,"What is the missing number?","4, 6, 8, __, 12","8, 9, 10, 11",10
55,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","4, 6, __, 10, 12","6, 7, 8, 9",8,2,"What is the missing number?","4, 6, __, 10, 12","6, 7, 8, 9",8
56,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","24, 26, 28, __, 32, 34","27, 29, 30, 31",30,2,"What is the missing number?","24, 26, 28, __, 32, 34","27, 29, 30, 31",30
57,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","71, 73, 75, __, 79","78, 77, 70, 76",77,2,"What is the missing number?","71, 73, 75, __, 79","78, 77, 70, 76",77
